,mbti,enneagram,role,movie,img_url,enn_1,enn_2,downthemall,img_filepath
3719,ENFP,7w6,Bibble,   Barbie: Fairytopia ,https://www.personality-database.com/profile_images/57407.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/57407.png?=undefined'></a>,downthemall/57407.png
3720,ENFP,4w3,Lettie Lutz,   The Greatest Showman ,https://www.personality-database.com/profile_images/90852.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/90852.png?=undefined'></a>,downthemall/90852.png
3721,ENFP,6w7,Tammy,   Ocean's 8 ,https://www.personality-database.com/profile_images/19637.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/19637.png?=undefined'></a>,downthemall/19637.png
3722,ENFP,7w6,Bibble,   Barbie: Fairytopia ,https://www.personality-database.com/profile_images/57407.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/57407.png?=undefined'></a>,downthemall/57407.png
3723,ENFP,4w3,Lettie Lutz,   The Greatest Showman ,https://www.personality-database.com/profile_images/90852.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/90852.png?=undefined'></a>,downthemall/90852.png
3724,ENFP,7w6,Tipo,   The Emperor's New Groove ,https://www.personality-database.com/profile_images/13889.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/13889.png?=undefined'></a>,downthemall/13889.png
3725,ENFP,4w3,Gordon Deitrich,   V for Vendetta ,https://www.personality-database.com/profile_images/31457.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/31457.png?=undefined'></a>,downthemall/31457.png
3726,ENFP,6w7,Vert Wheeler,   Hot Wheels World Race / AcceleRacers,https://www.personality-database.com/profile_images/54232.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/54232.png?=undefined'></a>,downthemall/54232.png
3727,ENFP,6w7,Grace Hart / Gracie-Lou Freebush,   Miss Congeniality ,https://www.personality-database.com/profile_images/93643.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/93643.png?=undefined'></a>,downthemall/93643.png
3728,ENFP,7w6,Dani Dennison,   Hocus Pocus ,https://www.personality-database.com/profile_images/8851.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/8851.png?=undefined'></a>,downthemall/8851.png
3729,ENFP,2w1,Martha,   The Secret Garden ,https://www.personality-database.com/profile_images/133151.png?=undefined,2,1,<a href='https://www.personality-database.com/profile_images/133151.png?=undefined'></a>,downthemall/133151.png
3730,ENFP,6w7,Bruce Nolan,   Bruce Almighty ,https://www.personality-database.com/profile_images/35439.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/35439.png?=undefined'></a>,downthemall/35439.png
3731,ENFP,9w1,"Judy Barton ""Madeleine Elster""",   Vertigo ,https://www.personality-database.com/profile_images/30498.png?=undefined,9,1,<a href='https://www.personality-database.com/profile_images/30498.png?=undefined'></a>,downthemall/30498.png
3732,ENFP,6w7,Bruce Nolan,   Bruce Almighty ,https://www.personality-database.com/profile_images/35439.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/35439.png?=undefined'></a>,downthemall/35439.png
3733,ENFP,2w3,Jamey,   Sierra Burgess Is a Loser ,https://www.personality-database.com/images/profile_transparent.png,2,3,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3734,ENFP,2w1,Martha,   The Secret Garden ,https://www.personality-database.com/profile_images/133151.png?=undefined,2,1,<a href='https://www.personality-database.com/profile_images/133151.png?=undefined'></a>,downthemall/133151.png
3735,ENFP,9w1,"Judy Barton ""Madeleine Elster""",   Vertigo ,https://www.personality-database.com/profile_images/30498.png?=undefined,9,1,<a href='https://www.personality-database.com/profile_images/30498.png?=undefined'></a>,downthemall/30498.png
3736,ENFP,5w4,Hogarth Hughes,   The Iron Giant ,https://www.personality-database.com/profile_images/39072.png?=undefined,5,4,<a href='https://www.personality-database.com/profile_images/39072.png?=undefined'></a>,downthemall/39072.png
3737,ENFP,6w7,Grace Hart / Gracie-Lou Freebush,   Miss Congeniality ,https://www.personality-database.com/profile_images/93643.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/93643.png?=undefined'></a>,downthemall/93643.png
3738,ENFP,1w2,Zoey,   The Dictator ,https://www.personality-database.com/profile_images/59219.png?=undefined,1,2,<a href='https://www.personality-database.com/profile_images/59219.png?=undefined'></a>,downthemall/59219.png
3739,ENFP,4w3,Shin Hae-mi,   Burning ,https://www.personality-database.com/profile_images/100157.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/100157.png?=undefined'></a>,downthemall/100157.png
3740,ENFP,7w6,Phillip Dale (Duckie),   Pretty in Pink ,https://www.personality-database.com/profile_images/13080.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/13080.png?=undefined'></a>,downthemall/13080.png
3741,ENFP,4w3,Dizzy,   Descendants,https://www.personality-database.com/profile_images/64750.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/64750.png?=undefined'></a>,downthemall/64750.png
3742,ENFP,4w3,Dizzy,   Descendants,https://www.personality-database.com/profile_images/64750.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/64750.png?=undefined'></a>,downthemall/64750.png
3743,ENFP,7w6,Raoul,   A Monster in Paris,https://www.personality-database.com/profile_images/118118.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/118118.png?=undefined'></a>,downthemall/118118.png
3744,ENFP,7w6,Annie Davis,   Game Night ,https://www.personality-database.com/images/profile_transparent.png,7,6,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3745,ENFP,7w6,Phillip Dale (Duckie),   Pretty in Pink ,https://www.personality-database.com/profile_images/13080.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/13080.png?=undefined'></a>,downthemall/13080.png
3746,ENFP,4w3,Shin Hae-mi,   Burning ,https://www.personality-database.com/profile_images/100157.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/100157.png?=undefined'></a>,downthemall/100157.png
3747,ENFP,6w7,Frenchie,   Grease ,https://www.personality-database.com/profile_images/27176.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/27176.png?=undefined'></a>,downthemall/27176.png
3748,ENFP,6w7,Daisy Fuller,   The Curious Case of Benjamin Button ,https://www.personality-database.com/profile_images/78652.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/78652.png?=undefined'></a>,downthemall/78652.png
3749,ENFP,9w8,"Dame Marjorie ""Maude"" Chardin",   Harold and Maude ,https://www.personality-database.com/profile_images/53918.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/53918.png?=undefined'></a>,downthemall/53918.png
3750,ENFP,6w7,Gobi,   Over the Moon ,https://www.personality-database.com/profile_images/152300.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/152300.png?=undefined'></a>,downthemall/152300.png
3751,ENFP,7w8,Little Creek,   Spirit: Stallion of the Cimarron ,https://www.personality-database.com/profile_images/28865.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/28865.png?=undefined'></a>,downthemall/28865.png
3752,ENFP,6w7,Daisy Fuller,   The Curious Case of Benjamin Button ,https://www.personality-database.com/profile_images/78652.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/78652.png?=undefined'></a>,downthemall/78652.png
3753,ENFP,7w6,He Zhiwu,   Fallen Angels ,https://www.personality-database.com/profile_images/201810.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/201810.png?=undefined'></a>,downthemall/201810.png
