mbti,enneagram,role,movie,img_url,enn_1,enn_2
ESFP,9w8,Osamu Shibata,   Shoplifters,https://www.personality-database.com/profile_images/177899.png?=undefined,9,8
ESFP,7w8,Rumi,   Dear Zindagi,https://www.personality-database.com/profile_images/195598.png?=undefined,7,8
ESFP,7w8,Elin,   Show Me Love / Fucking Åmål ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,2w1,Bear,   American Pie,https://www.personality-database.com/profile_images/124964.png?=undefined,2,1
ESFP,2w1,Medusa,   Clash of the Teetans,https://www.personality-database.com/images/profile_transparent.png,2,1
ESFP,2w3,Henry Frankenstein,   Frankenstein,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,7w8,Mudflap,   Transformers ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,6w7,"Aunt ""Pittypat"" Hamilton",   Gone with the Wind ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,7w6,Ruth,   The Willoughbys ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w6,Doody,   Grease ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,4w3,Hüsnü,   Yedi Bela Hüsnü ,https://www.personality-database.com/images/profile_transparent.png,4,3
ESFP,7w8,Angela,   Night on Earth ,https://www.personality-database.com/profile_images/82942.png?=undefined,7,8
ESFP,6w7,Kit De Luca,   Pretty Woman ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,3w4,Cody Nicholson,   True Romance ,https://www.personality-database.com/profile_images/119411.png?=undefined,3,4
ESFP,7w6,"Marcie ""Foxy"" Fox",   Jawbreaker ,https://www.personality-database.com/profile_images/168484.png?=undefined,7,6
ESFP,3w2,Romy White,   Romy and Michele's High School Reunion ,https://www.personality-database.com/profile_images/132924.png?=undefined,3,2
ESFP,6w7,A.J.,   Flight of the Phoenix ,https://www.personality-database.com/profile_images/77214.png?=undefined,6,7
ESFP,7w8,Annie Brackett,   Halloween ,https://www.personality-database.com/profile_images/156691.png?=undefined,7,8
ESFP,7w8,Marishka,   Van Helsing ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Tom Hewett,   Match Point ,https://www.personality-database.com/profile_images/106785.png?=undefined,7,6
ESFP,7w8,Momo,   Next Gen ,https://www.personality-database.com/profile_images/162562.png?=undefined,7,8
ESFP,7w6,Adèle Varens,   Jane Eyre ,https://www.personality-database.com/profile_images/92411.png?=undefined,7,6
ESFP,3w4,Fozzie,   The Muppets ,https://www.personality-database.com/images/profile_transparent.png,3,4
ESFP,7w8,Christian VII of Denmark,   A Royal Affair ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Cami Q.,   Radio Rebel ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Daniel Becker,   Fack ju Göthe,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,6w7,Jamie Shipley,   The Big Short ,https://www.personality-database.com/profile_images/129231.png?=undefined,6,7
ESFP,7w6,Tuck,   A Bug's Life ,https://www.personality-database.com/profile_images/104690.png?=undefined,7,6
ESFP,7w6,Roll,   A Bug's Life ,https://www.personality-database.com/profile_images/104691.png?=undefined,7,6
ESFP,7w8,Raggedy Andy,   Raggedy Ann & Andy: A Musical Adventure ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Roo,   Christopher Robin ,https://www.personality-database.com/profile_images/173587.png?=undefined,7,6
ESFP,6w7,Bryan,   Love Wedding Repeat ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,2w1,Katy,   Goat story,https://www.personality-database.com/profile_images/207190.png?=undefined,2,1
ESFP,2w3,Wilbur,   The Rescuers ,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,6w7,Felix Leiter (Rik Van Nutter / Thunderball),   James Bond,https://www.personality-database.com/profile_images/114240.png?=undefined,6,7
ESFP,3w4,The Tree,   The Last Unicorn ,https://www.personality-database.com/profile_images/59281.png?=undefined,3,4
ESFP,7w8,Manny Heffley,   Diary of a Wimpy Kid: The Long Haul,https://www.personality-database.com/profile_images/153597.png?=undefined,7,8
ESFP,7w6,Marina Del Rey,   The Little Mermaid ,https://www.personality-database.com/profile_images/226858.png?=undefined,7,6
ESFP,7w8,Ghost of Christmas Present,   Scrooged ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,3w4,Meishan,   Raise the Red Lantern ,https://www.personality-database.com/images/profile_transparent.png,3,4
ESFP,7w8,"Wallace A. Weems "" Ripcord""",   G.I. Joe ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Fuller McCallister,   Home Alone ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Blue Boy,   K-12 ,https://www.personality-database.com/profile_images/236505.png?=undefined,7,8
ESFP,2w3,Rohan Raichand,   Kabhi Khushi Kabhie Gham... ,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,7w6,Mungojerrie,   Cats ,https://www.personality-database.com/profile_images/98182.png?=undefined,7,6
ESFP,6w7,The Man,   Sunrise: A Song of Two Humans,https://www.personality-database.com/profile_images/108149.png?=undefined,6,7
ESFP,7w6,Ali Khan,   Dhoom ,https://www.personality-database.com/profile_images/140799.png?=undefined,7,6
ESFP,8w9,Gina,   Parenti serpenti ,https://www.personality-database.com/profile_images/122538.png?=undefined,8,9
ESFP,3w4,Omar,   Atlantics ,https://www.personality-database.com/images/profile_transparent.png,3,4
ESFP,2w3,J.T.,   My Cousin Vinny ,https://www.personality-database.com/profile_images/128110.png?=undefined,2,3
ESFP,7w8,Megan Garris,   Friday the 13th ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,3w4,Susan Gardner,   Charlie Bartlett,https://www.personality-database.com/images/profile_transparent.png,3,4
ESFP,8w7,"Ebby ""Nuke"" Laloosh",   Bull Durham ,https://www.personality-database.com/profile_images/127392.png?=undefined,8,7
ESFP,7w6,Lola Perez,   Adventures in Babysitting,https://www.personality-database.com/profile_images/198369.png?=undefined,7,6
ESFP,3w4,Melvin Plugg,   Tremors,https://www.personality-database.com/images/profile_transparent.png,3,4
